epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,25.9898,1.28643,4.67961,3.28077,0.02,6.4522,0.01,1,0.02069,0.01502,0.01,1,0.0162,0.01028,0.59845,2.35437,3.33161,0.01318,0,0.0003,0.0001,0.0003,0.0001,0.0003,0.0001,0.0003,0.0001
2,40.0381,1.27623,4.87185,3.20862,0.02008,6.24125,0.01,1,0.01986,0.01393,0.01,1,0.01453,0.00951,0.725,2.49242,3.34194,0.01642,0,0.000653466,0.000217822,0.000653466,0.000217822,0.000653466,0.000217822,0.000653466,0.000217822
3,54.8996,1.13712,4.4564,3.21507,0.01866,5.82566,0.00958,0.95833,0.01821,0.01203,0.00958,0.95833,0.0278,0.00979,1.00001,3.10911,3.37973,0.0223,0,0.000999804,0.000333268,0.000999804,0.000333268,0.000999804,0.000333268,0.000999804,0.000333268
4,69.3187,1.36927,4.05315,3.28288,0.02005,5.52021,0.00958,0.95833,0.0184,0.01235,0.00917,0.91667,0.04975,0.01155,1.19456,3.30474,3.39987,0.02795,0,0.00133901,0.000446338,0.00133901,0.000446338,0.00133901,0.000446338,0.00133901,0.000446338
5,79.3697,1.14463,3.72035,3.27389,0.01713,4.89573,0.00917,0.91667,0.0181,0.01221,0.00875,0.875,0.04462,0.0119,1.18637,3.47768,3.39778,0.02845,0,0.0016711,0.000557032,0.0016711,0.000557032,0.0016711,0.000557032,0.0016711,0.000557032
6,90.0298,1.16738,3.31526,3.31541,0.0166,4.71874,0.00917,0.91667,0.01826,0.01271,0.00875,0.875,0.0849,0.02141,1.0964,2.91477,3.39528,0.02591,0,0.00199605,0.00066535,0.00199605,0.00066535,0.00199605,0.00066535,0.00199605,0.00066535
7,100.566,1.19264,3.43998,3.24943,0.01821,4.47829,0.01,1,0.02178,0.0154,0.01,1,0.13614,0.04089,0.79605,2.74268,3.34668,0.01769,0,0.00231388,0.000771292,0.00231388,0.000771292,0.00231388,0.000771292,0.00231388,0.000771292
8,106.715,1.24535,3.15731,3.24771,0.01786,4.4425,0.01,1,0.02178,0.0154,0.01,1,0.13614,0.04089,0.79605,2.74268,3.34668,0.01769,0,0.00262457,0.000874858,0.00262457,0.000874858,0.00262457,0.000874858,0.00262457,0.000874858
9,117.628,1.04807,2.93909,3.27826,0.01537,4.32886,0.01,1,0.03989,0.02692,0.01,1,0.1689,0.09296,0.57633,2.63731,3.33034,0.01274,0,0.00292814,0.000976048,0.00292814,0.000976048,0.00292814,0.000976048,0.00292814,0.000976048
10,127.667,1.09828,3.07266,3.21229,0.01576,3.70836,0.01,1,0.04865,0.03052,0.01,1,0.18239,0.08905,0.55017,2.56745,3.31903,0.01216,0,0.00322459,0.00107486,0.00322459,0.00107486,0.00322459,0.00107486,0.00322459,0.00107486
11,133.969,1.01368,2.72337,3.15443,0.01487,3.13256,0.01,1,0.04865,0.03052,0.01,1,0.18239,0.08905,0.55017,2.56745,3.31903,0.01216,0,0.0035139,0.0011713,0.0035139,0.0011713,0.0035139,0.0011713,0.0035139,0.0011713
12,145.201,0.97437,2.70357,3.17708,0.016,3.32584,0.01,1,0.03472,0.02248,0.01,1,0.12731,0.04655,0.56142,1.97752,3.33223,0.01209,0,0.00379609,0.00126536,0.00379609,0.00126536,0.00379609,0.00126536,0.00379609,0.00126536
